,,4800007,ASK 025 BB 8H7/10H7 ST,11302,8,9909,09.07.2021,23.42,-22.95,21061,Ludwig Meister GmbH & Co. KG,187.36,-183.6,D,80,MPEU,3,2021-12-03
,,4800009,ASK 025 BB 8H7/10H7 ST,11302,8,9909,09.07.2021,23.42,-22.95,21061,Ludwig Meister GmbH & Co. KG,187.36,-183.6,D,80,MPEU,3,2021-12-03
,,5300027,AL-095 10-19H,10801,4,2201,01.07.2021,12.5,67.8,31025,Iris Express Shipping LTD,50,271.2,D,07,MPEU,3,2021-12-03
,,5300027,AL Spider L-090/095,10820,10,2201,01.07.2021,0.4,17.4,31025,Iris Express Shipping LTD,4,174,D,07,MPEU,3,2021-12-03
,,5300028,BXW-04-12S-24V,20380,6,1201,05.07.2021,20.9,45.32,30715,Vidisco Ltd.,125.4,271.92,D,90,MPEU,3,2021-12-03
,,5300028,BXW-04-10 12 Nabe ohne Passfedernut,20381,6,1201,05.07.2021,8.41,7.78,30715,Vidisco Ltd.,50.46,46.68,D,90,MPEU,3,2021-12-03
,,5300030,BXW-03-10H-24V,20380,24,1201,12.07.2021,11.13,34.91,30937,HAMESHAVEV H.T.M.S Ltd,267.12,837.84,D,80,MPEU,3,2021-12-03
,,5300030,BXW-03-10 9 Nabe,20381,24,1201,12.07.2021,8.24,7.46,30937,HAMESHAVEV H.T.M.S Ltd,197.76,179.04,D,80,MPEU,3,2021-12-03
,,5300030,SFC-020DA2-6B-11B,10101,24,2301,12.07.2021,18.66,27.2,30937,HAMESHAVEV H.T.M.S Ltd,447.84,652.8,D,80,MPEU,3,2021-12-03
,,5300031,BXR-025-10LE-032 24V,20201,1,1201,13.07.2021,25.8,0,30925,E.S.C. BAZ Ltd.,25.8,0,D,90,MPEU,3,2021-12-03
,,5300032,SFC-035DA2-6B-15B,10101,15,2301,16.07.2021,14.02,38.12,31030,Sigma Boutique Technologies Ltd.,210.3,571.8,D,80,MPEU,3,2021-12-03
,,5300032,Versandkosten inkl. Verpackung,99999,1,9999,16.07.2021,0,140,31030,Sigma Boutique Technologies Ltd.,0,140,D,80,MPEU,3,2021-12-03
