,,4800007,ASK 025 BB 8H7/10H7 ST,11302,8,9909,09.07.2021,23.42,-22.95,21061,Ludwig Meister GmbH & Co. KG,187.36,-183.60,D,80,MPEU,3,2021-12-22
,,4800009,ASK 025 BB 8H7/10H7 ST,11302,8,9909,09.07.2021,23.42,-22.95,21061,Ludwig Meister GmbH & Co. KG,187.36,-183.60,D,80,MPEU,3,2021-12-22
,,5300027,AL-095 10-19H,10801,4,2201,01.07.2021,12.50,67.80,31025,Iris Express Shipping LTD,50.00,271.20,D,07,MPEU,3,2021-12-22
,,5300027,AL Spider L-090/095,10820,10,2201,01.07.2021,0.40,17.40,31025,Iris Express Shipping LTD,4.00,174.00,D,07,MPEU,3,2021-12-22
,,5300028,BXW-04-12S-24V,20380,6,1201,05.07.2021,20.90,45.32,30715,Vidisco Ltd.,125.40,271.92,D,90,MPEU,3,2021-12-22
,,5300028,BXW-04-10 12 Nabe ohne Passfedernut,20381,6,1201,05.07.2021,8.41,7.78,30715,Vidisco Ltd.,50.46,46.68,D,90,MPEU,3,2021-12-22
,,5300030,BXW-03-10H-24V,20380,24,1201,12.07.2021,11.13,34.91,30937,HAMESHAVEV H.T.M.S Ltd,267.12,837.84,D,80,MPEU,3,2021-12-22
,,5300030,BXW-03-10 9 Nabe,20381,24,1201,12.07.2021,8.24,7.46,30937,HAMESHAVEV H.T.M.S Ltd,197.76,179.04,D,80,MPEU,3,2021-12-22
,,5300030,SFC-020DA2-6B-11B,10101,24,2301,12.07.2021,18.66,27.20,30937,HAMESHAVEV H.T.M.S Ltd,447.84,652.80,D,80,MPEU,3,2021-12-22
,,5300031,BXR-025-10LE-032 24V,20201,1,1201,13.07.2021,25.80,0.00,30925,E.S.C. BAZ Ltd.,25.80,0.00,D,90,MPEU,3,2021-12-22
,,5300032,SFC-035DA2-6B-15B,10101,15,2301,16.07.2021,14.02,38.12,31030,Sigma Boutique Technologies Ltd.,210.30,571.80,D,80,MPEU,3,2021-12-22
,,5300032,Versandkosten inkl. Verpackung,99999,1,9999,16.07.2021,0.00,140.00,31030,Sigma Boutique Technologies Ltd.,0.00,140.00,D,80,MPEU,3,2021-12-22
,,5300033,BXR-035-10LE-062 24V,20201,100,1201,21.07.2021,28.10,54.12,30768,Memic Innovative Surgery Ltd.,2810.00,5412.00,D,06,MPEU,3,2021-12-22
,,5300033,BXR-040-10LE-132 24V,20201,100,1201,21.07.2021,28.50,55.21,30768,Memic Innovative Surgery Ltd.,2850.00,5521.00,D,06,MPEU,3,2021-12-22
,,5300034,121-06-20G,40402,5,1302,22.07.2021,112.70,346.82,30245,Solid Ltd,563.50,1734.10,D,23,MPEU,3,2021-12-22
,,5300034,Versandkosten inkl. Verpackung,99999,1,9999,22.07.2021,0.00,35.00,30245,Solid Ltd,0.00,35.00,D,23,MPEU,3,2021-12-22
,,5300035,101-08-13G 24V 20DIN,60101,2,1301,26.07.2021,30.80,84.06,31009,Control-X Medical Ltd.,61.60,168.12,D,14,MPEU,3,2021-12-22
,,4300742,SFC-060SA2-24B-24B,10101,2,2301,01.07.2021,17.46,73.84,21936,Misumi Europa GmbH,34.92,147.68,D,80,MPEU,3,2021-12-22
,,4300742,SFC-020DA2-6B-6B,10101,2,2301,01.07.2021,11.15,31.49,21936,Misumi Europa GmbH,22.30,62.98,D,80,MPEU,3,2021-12-22
,,4300742,ALS-055-R-19B-22B,10702,1,2202,01.07.2021,27.74,40.02,21936,Misumi Europa GmbH,27.74,40.02,D,80,MPEU,3,2021-12-22
,,4300743,SFC-010DA2-4B-4B,10101,3,2301,01.07.2021,12.85,18.50,30463,StS Coupling GmbH,38.55,55.50,A,16,MPEU,3,2021-12-22
,,4300743,SFC-010DA2-5B-5B,10101,3,2301,01.07.2021,12.85,18.50,30463,StS Coupling GmbH,38.55,55.50,A,16,MPEU,3,2021-12-22
,,4300744,ASK 018 BB 6H7/6H7 AL,11301,5,9909,01.07.2021,6.00,18.80,30477,Roth GmbH + Co. KG,30.00,94.00,D,90,MPEU,3,2021-12-22
,,4300745,ASK 080 BB 32G6/35G6 AL,11301,1,9909,01.07.2021,46.79,145.00,31023,Binder GmbH,46.79,145.00,D,90,MPEU,3,2021-12-22
,,4300745,Versandkosten inkl. Verpackung,99999,1,9999,01.07.2021,0.00,7.57,31023,Binder GmbH,0.00,7.57,D,90,MPEU,3,2021-12-22
,,4300747,Rotor 546-15-34 RS 25mm,90903,5,1501,01.07.2021,67.90,67.90,30325,Miki Pulley Co. Ltd.,339.50,339.50,D,98,MPEU,3,2021-12-22
