21.07.2021,250,2400084,Rotor BG 90; gesintert; AD=70; ID=24; B=25,90801,250,9909,23.06.2020,2.32,6.48,30364,HYDAC Cooling GmbH,580.00,1620.00,D,08,MPEU,2,2021-12-22
10.03.2021,0,2400171,BXR-14-10-038-24V-22DIN A-88,20170,12,1401,25.01.2021,63.40,170.91,30690,CMC Marine S.r.L,760.80,2050.92,D,07,MPEU,2,2021-12-22
05.05.2021,0,2400171,BXR-14-10-038-24V-22DIN A-88,20170,12,1401,25.01.2021,63.40,170.91,30690,CMC Marine S.r.L,760.80,2050.92,D,07,MPEU,2,2021-12-22
07.07.2021,0,2400171,BXR-14-10-038-24V-22DIN A-88,20170,12,1401,25.01.2021,63.40,170.91,30690,CMC Marine S.r.L,760.80,2050.92,D,07,MPEU,2,2021-12-22
08.09.2021,0,2400171,BXR-14-10-038-24V-22DIN A-88,20170,20,1401,25.01.2021,63.40,170.91,30690,CMC Marine S.r.L,1268.00,3418.20,D,07,MPEU,2,2021-12-22
08.11.2021,0,2400171,BXR-14-10-038-24V-22DIN A-88,20170,20,1401,25.01.2021,63.40,170.91,30690,CMC Marine S.r.L,1268.00,3418.20,D,07,MPEU,2,2021-12-22
12.01.2022,10,2400171,BXR-14-10-038-24V-22DIN A-88,20170,10,1401,25.01.2021,63.40,170.91,30690,CMC Marine S.r.L,634.00,1709.10,D,07,MPEU,2,2021-12-22
09.03.2022,20,2400171,BXR-14-10-038-24V-22DIN A-88,20170,20,1401,25.01.2021,63.40,170.91,30690,CMC Marine S.r.L,1268.00,3418.20,D,07,MPEU,2,2021-12-22
04.05.2022,20,2400171,BXR-14-10-038-24V-22DIN A-88,20170,20,1401,25.01.2021,63.40,170.91,30690,CMC Marine S.r.L,1268.00,3418.20,D,07,MPEU,2,2021-12-22
06.07.2022,10,2400171,BXR-14-10-038-24V-22DIN A-88,20170,10,1401,25.01.2021,63.40,170.91,30690,CMC Marine S.r.L,634.00,1709.10,D,07,MPEU,2,2021-12-22
01.04.2021,0,2400223,BXR-16-10-055-24V-32DIN,20101,10,1401,16.10.2020,72.60,230.13,30690,CMC Marine S.r.L,726.00,2301.30,D,07,MPEU,2,2021-12-22
05.04.2021,0,2400223,BXR-16-10-055-24V-32DIN,20101,10,1401,16.10.2020,72.60,230.13,30690,CMC Marine S.r.L,726.00,2301.30,D,07,MPEU,2,2021-12-22
07.07.2021,0,2400223,BXR-16-10-055-24V-32DIN,20101,10,1401,16.10.2020,72.60,230.13,30690,CMC Marine S.r.L,726.00,2301.30,D,07,MPEU,2,2021-12-22
07.07.2021,0,2400223,BXR-16-10-055-24V-32DIN,20101,10,1401,16.10.2020,72.60,230.13,30690,CMC Marine S.r.L,726.00,2301.30,D,07,MPEU,2,2021-12-22
07.07.2021,0,2400223,BXR-16-10-055-24V-32DIN,20101,20,1401,16.10.2020,72.60,230.13,30690,CMC Marine S.r.L,1452.00,4602.60,D,07,MPEU,2,2021-12-22
06.10.2021,0,2400223,BXR-16-10-055-24V-32DIN,20101,10,1401,16.10.2020,72.60,230.13,30690,CMC Marine S.r.L,726.00,2301.30,D,07,MPEU,2,2021-12-22
16.03.2022,20,2400223,BXR-16-10-055-24V-32DIN,20101,20,1401,16.10.2020,72.60,230.13,30690,CMC Marine S.r.L,1452.00,4602.60,D,07,MPEU,2,2021-12-22
18.05.2022,10,2400223,BXR-16-10-055-24V-32DIN,20101,10,1401,16.10.2020,72.60,230.13,30690,CMC Marine S.r.L,726.00,2301.30,D,07,MPEU,2,2021-12-22
20.07.2022,10,2400223,BXR-16-10-055-24V-32DIN,20101,10,1401,16.10.2020,72.60,230.13,30690,CMC Marine S.r.L,726.00,2301.30,D,07,MPEU,2,2021-12-22
10.03.2021,0,2400224,BXR-10-10-016-24V-24DIN,20101,20,1401,01.02.2021,38.70,104.95,30690,CMC Marine S.r.L,774.00,2099.00,D,07,MPEU,2,2021-12-22
07.04.2021,0,2400224,BXR-10-10-016-24V-24DIN,20101,20,1401,01.02.2021,38.70,104.95,30690,CMC Marine S.r.L,774.00,2099.00,D,07,MPEU,2,2021-12-22
05.05.2021,0,2400224,BXR-10-10-016-24V-24DIN,20101,20,1401,01.02.2021,38.70,104.95,30690,CMC Marine S.r.L,774.00,2099.00,D,07,MPEU,2,2021-12-22
07.07.2021,0,2400224,BXR-10-10-016-24V-24DIN,20101,20,1401,01.02.2021,38.70,104.95,30690,CMC Marine S.r.L,774.00,2099.00,D,07,MPEU,2,2021-12-22
08.09.2021,0,2400224,BXR-10-10-016-24V-24DIN,20101,25,1401,01.02.2021,38.70,104.95,30690,CMC Marine S.r.L,967.50,2623.75,D,07,MPEU,2,2021-12-22
06.10.2021,0,2400224,BXR-10-10-016-24V-24DIN,20101,25,1401,01.02.2021,38.70,104.95,30690,CMC Marine S.r.L,967.50,2623.75,D,07,MPEU,2,2021-12-22
08.11.2021,0,2400224,BXR-10-10-016-24V-24DIN,20101,25,1401,01.02.2021,38.70,104.95,30690,CMC Marine S.r.L,967.50,2623.75,D,07,MPEU,2,2021-12-22
12.01.2022,25,2400224,BXR-10-10-016-24V-24DIN,20101,25,1401,01.02.2021,38.70,104.95,30690,CMC Marine S.r.L,967.50,2623.75,D,07,MPEU,2,2021-12-22
