据点ID,区分,受注日期,客户希望纳期,销售GPR内外,英文顾客,顧客業種C,规格型号,产品名称,受注数量,货币,不含税价格,成本金额,中分类C,供应商名称,供应商集团内外,终端用户英文,终端用户行业C,ID
MPSH,1,20211231,20220131,OUT,BITPASS,8000,,SFF-070SS-22K-24KK,2,RMB,305,,2302,MPTJ,OUT,北京精雕,1030,1
MPSH,1,20211231,20220107,OUT,BITPASS,8000,121292700,SFC-010DA2-8B-8B,18,RMB,60,,2301,MPTJ,OUT,昆山杰士德,1190,2
MPSH,1,20211231,20220105,OUT,BITPASS,8000,121349200,SFC-020SA2-8B-8B,1,RMB,41,,2301,MPTJ,OUT,苏州迈为,1190,3
MPSH,1,20211231,20220113,OUT,BITPASS,8000,121859900,SFC-050DA2-16B-20B,4,RMB,101,,2301,MPTJ,OUT,苏州迈为,1190,4
MPSH,1,20211231,20220112,OUT,ACE,8000,,SFC-035SA2-10B-19B,5,RMB,102,,2301,MPTJ,OUT,,,5
MPSH,1,20211231,20220112,OUT,ACE,8000,125730600,SFC-040DA2-19B-20B,1,RMB,160,,2301,MPTJ,OUT,,,6
MPSH,1,20211231,20220112,OUT,ACE,8000,121666600,SFC-030SA2-8B-14B,4,RMB,97,,2301,MPTJ,OUT,,,7
MPSH,1,20211231,20220112,OUT,ACE,8000,126918000,SFF-080SS-25K-32K,5,RMB,357,,2302,MPTJ,OUT,,,8
MPSH,1,20211231,20220112,OUT,ACE,8000,124549100,SFF-080SS-32K-35K,5,RMB,357,,2302,MPTJ,OUT,,,9
MPSH,1,20211231,20220112,OUT,ACE,8000,123146700,PSL-G-48,10,RMB,166,,2602,MPTJ,OUT,,,10
MPSH,1,20211231,20220112,OUT,ACE,8000,123948600,PSL-G-80,5,RMB,318,,2602,MPTJ,OUT,,,11
MPSH,1,20211231,20220112,OUT,ACE,8000,123001800,SFC-080DA2-25B-35B,1,RMB,333,,2301,MPTJ,OUT,,,12
MPSH,1,20211231,20220211,OUT,MISUMI,8000,121835600,SFC-050SA2-15B-19B,10,RMB,168.38,,2301,MPTJ,OUT,米思米,8020,13
MPSH,1,20211231,20220211,OUT,MISUMI,8000,121276700,SFC-035DA2-10B-14B,4,RMB,143.59,,2301,MPTJ,OUT,米思米,8020,14
MPSH,1,20211231,20220116,OUT,TSUGAMI,1000,127325600,SFF-060SS-T017N,4,RMB,147,,2302,MPTJ,OUT,津上精密,1090,15
MPSH,1,20211231,20220116,OUT,TSUGAMI,1000,123146900,PSL-G-55,2,RMB,117,,2602,MPTJ,OUT,津上精密,,16
MPSH,1,20211231,20220316,OUT,TSUGAMI,1000,121931600,SFC-050SA2-18B-19B,3,RMB,179,,2301,MPTJ,OUT,津上精密,,17
MPSH,1,20211231,20220115,OUT,ANSEN,8000,123141500,PSL-D-14,2,RMB,187,,2602,MPTJ,OUT,,,18
MPSH,1,20211231,20220131,OUT,BITPASS,8000,122007800,SFF-080SS-25K-35K,3,RMB,357,,2302,MPTJ,OUT,北京精雕,1030,19
MPSH,1,20211231,20220107,OUT,BITPASS,8000,121437500,SFC-030DA2-10B-14B,5,RMB,61,,2301,MPTJ,OUT,昆山杰士德,1190,20
MPSH,1,20211231,20220107,OUT,BITPASS,8000,,ALS-040ARN-16BHA-19BHA,30,RMB,45,,2202,MPTJ,OUT,苏州迈为,1190,21
MPSH,1,20211231,20220107,OUT,BITPASS,8000,,ALS-040ARN-14BHA-16BHA,60,RMB,45,,2202,MPTJ,OUT,苏州迈为,1190,22
MPSH,1,20211231,20220107,OUT,BITPASS,8000,121375600,SFC-030DA2-10B-11B,2,RMB,61,,2301,MPTJ,OUT,瑞声光电,1130,23
MPSH,1,20211231,20220113,OUT,BITPASS,8000,123017700,SFC-090DA2-32B-38B,2,RMB,393,,2301,MPTJ,OUT,苏州利穗,1820,24
