ÙþßöÛã?,?ïÃID,?ÝÂ,Ò´êÅìí,ÍÓËÔýñØÐÒ¡Ñ¢,?ß¾?èâ?ÝÂ,ÍÓËÔÕÔ?,ÍÓËÔåöðú«³?«É,ù¡Ûã,ù¡Ù£,?Õá,÷×ü§«³?«É,????,ê«?£¨??£©,ð²ù¡ñéÝÂ×¾«³?«É,ÞÂìýà»Ù£?,ÞÂìýà»?èâ?ÝÂ,«æ?«¶Ù£?,«æ?«¶åöðú«³?«É
,,,,,,x,«³?«É,Product No.,Description,Qty,,,Sales cost,Group code,Supplier,,,
,MPKR,3,20220106,20220106,OUT,DKM,0100,125132900,BRAKE: BXW-04-10M-10-90V-10,300,KRW,25000,1806,01201,OUT,,,
,MPKR,3,20220106,20220106,OUT,DKM,0100,121586200,POWER SUPPLY: BEM-2T 360L,300,KRW,2500,280,01901,OUT,,,
,MPKR,3,20220106,20220106,OUT,HOSUNG BEARING,8000,104345000,COUPLING: CF-A-030-O1-1360,40,KRW,138000,4418,02101,IN,,,
,MPKR,3,20220106,20220106,OUT,HOSUNG BEARING,8000,104345000,COUPLING: CF-A-030-O1-1360,20,KRW,138000,4418,02101,IN,,,
,MPKR,3,20220106,20220106,OUT,JUNGWOO ELECT,0100,,BRAKE: BXL-08-10J-02 099V-13,70,KRW,60000,,09209,OUT,,,
,MPKR,3,20220106,20220106,OUT,KUD,0700,121508800,BRAKE: BXW-01-10H-24V-6,2,KRW,28500,1823,01201,OUT,,,
,MPKR,3,20220106,20220106,OUT,HYUNDAI WIA,1000,128296900,COUPLING: SFF-070SS-T062N,3,KRW,0,5627,02302,IN,,,
,MPKR,1,20220106,20220106,OUT,JUNGWOO ELECT,0100,,BRAKE: BXL-08-10J-02 099V-13,70,KRW,60000,,09209,OUT,,,
,MPKR,1,20220106,20220203,OUT,DK MEDICAL,1400,103532400,CLUTCH: 546-13-34-NF 24V 15DIN,5,KRW,527000,27249,01501,IN,,,
,MPKR,1,20220106,20220106,OUT,HOSUNG BEARING,8000,104345000,COUPLING: CF-A-030-O1-1360,20,KRW,138000,4418,02101,IN,,,
,MPKR,1,20220106,20220106,OUT,DKM,0100,125132900,BRAKE: BXW-04-10M-10-90V-10,300,KRW,25000,1806,01201,OUT,,,
,MPKR,1,20220106,20220106,OUT,DKM,0100,121586200,POWER SUPPLY: BEM-2T 360L,300,KRW,2500,280,01901,OUT,,,
,MPKR,1,20220106,20220127,OUT,WONYEONG FA,8000,104250400,COUPLING: CF-A-004-O0-1360,10,KRW,29000,670,02101,IN,,,
,MPKR,1,20220106,20220122,OUT,KEUMA,8000,122865000,COUPLING: ALS-040-R-19B-19B,2,KRW,61000,1632,02202,IN,,,
,MPKR,2,20220106,20220201,OUT,HANSUNG TNI,0400,126921800,COUPLING: CF-A-025-O1-T46,30,KRW,105000,3952,02101,IN,,,
,MPKR,2,20220106,20220201,OUT,HANSUNG TNI,0400,126921800,COUPLING: CF-A-025-O1-T46,50,KRW,105000,3952,02101,IN,,,
,MPKR,2,20220106,20211229,OUT,PUNGSAN,1500,,monninghoff toothclutch 546.32.6.7/313.98.1.0,2,KRW,14600000,,01501,OUT,,,
,MPKR,2,20220106,20211224,OUT,SHINIL MARINE,1200,128875200,BRAKE: BXR-02-10LE-A-17,15,KRW,100000,2620,01201,IN,,,
,MPKR,2,20220106,20220113,OUT,SHINIL MARINE,1200,128743800,BRAKE: BXR-015-10LE-006,5,KRW,110000,4383,01201,IN,,,
,MPKR,2,20220106,20211217,OUT,S TECH,2100,122648200,CB UNIT: 121-08-10G,11,KRW,395000,15623,01302,IN,,,
,MPKR,2,20220106,20211217,OUT,S TECH,2100,122648500,CB UNIT: 121-16-10G,12,KRW,975000,40230,01302,IN,,,
,MPKR,2,20220106,20211224,OUT,HOSUNG BEARING,8000,104345000,COUPLING: CF-A-030-O1-1360,60,KRW,138000,4418,02101,IN,,,
