据点ID,区分,受注日期,客户希望纳期,销售GPR内外,英文顾客,顧客業種C,规格型号,产品名称,受注数量,货币,不含税价格,成本金额,中分类C,供应商名称,供应商集团内外,终端用户英文,终端用户行业C,ID
MPSH,1,20220107,20220430,OUT,LG MAZAK,1000,129924800,SFM-090SS-T004N,150,RMB,1282.33,,2302,MPJP,IN,小巨人,1010,1
MPSH,1,20220107,20220330,OUT,ACE,8000,129276900,SFF-120DS-55BM-55BM-600N,240,RMB,938,,2302,MPJP,IN,青岛高测,1010,2
MPSH,1,20220107,20220330,OUT,ACE,8000,129276900,SFF-120DS-55BM-55BM-600N,240,RMB,938,,2302,MPJP,IN,青岛高测,1010,3
MPSH,1,20220107,20220330,OUT,ACE,8000,129725700,SFC-055DA2-22B-22K,26,RMB,248,,2301,MPJP,IN,青岛高测,1010,4
MPSH,1,20220107,20220215,OUT,NICHIDEN,8000,121848300,SFC-060SA2-18B-19B,5,RMB,310,,2301,MPTJ,OUT,嘉睦电子,0190,5
MPSH,1,20220107,20220112,OUT,ACE,8000,121822200,SFC-060DA2-20B-24B,5,RMB,267,,2301,MPTJ,OUT,宁波海天,1010,6
MPSH,1,20220107,20220112,OUT,ACE,8000,,ALS-065ARN-35BHA-38BHA,1,RMB,143,,2202,MPTJ,OUT,宁波海天,1010,7
MPSH,1,20220107,20220110,OUT,BITPASS,8000,121676500,SFC-050SA2-15B-24B,2,RMB,75,,2301,MPTJ,OUT,苏州赛腾,1590,8
MPSH,1,20220107,20220114,OUT,BITPASS,8000,123198200,SFC-030DA2-9.525B-10B,34,RMB,61,,2301,MPTJ,OUT,杭州长川,1510,9
MPSH,1,20220107,20220113,OUT,BITPASS,8000,,ALS-020ARN-8BHA-10BHA,30,RMB,32,,2202,MPTJ,OUT,苏州迈为,1190,10
MPSH,1,20220107,20220113,OUT,BITPASS,8000,,ALS-040ARN-16BHA-19BHA,70,RMB,45,,2202,MPTJ,OUT,苏州迈为,1190,11
MPSH,1,20220107,20220112,OUT,BITPASS,8000,121873300,SFC-060DA2-24B-25B,2,RMB,159,,2301,MPTJ,OUT,上海联泰,1190,12
MPSH,1,20220107,20220113,OUT,BITPASS,8000,,ALS-020ARN-8BHA-10BHA,20,RMB,32,,2202,MPTJ,OUT,苏州迈为,1190,13
MPSH,1,20220107,20220117,OUT,MISUMI,8000,121845600,SFC-040SA2-10B-19B,2,RMB,121.37,,2301,MPTJ,OUT,米思米,8020,14
MPSH,1,20220107,20220304,OUT,ANSEN,8000,103300400,112-03-13 24V,5,RMB,155,,1101,MPJP,IN,,,15
